year,category,subcategory,indicator_id,indicator_name,source,value,source_url,unit,reference_period,frequency,period_type,status,geo_level,geo_name,definition,source_revision_date,notes
2021,Renta y desigualdad,Renta,renta_media_unidad_consumo,Renta media por unidad de consumo,INE - ECV tabla 9942,18103,https://ine.es/jaxiT3/Tabla.htm?t=9942,euros,2021,Anual,media anual,oficial,País,España,Renta anual media por unidad de consumo.,2026-07-10,En ECV los ingresos se refieren al año anterior al de la entrevista.
2022,Renta y desigualdad,Renta,renta_media_unidad_consumo,Renta media por unidad de consumo,INE - ECV tabla 9942,19160,https://ine.es/jaxiT3/Tabla.htm?t=9942,euros,2022,Anual,media anual,oficial,País,España,Renta anual media por unidad de consumo.,2026-07-10,En ECV los ingresos se refieren al año anterior al de la entrevista.
2023,Renta y desigualdad,Renta,renta_media_unidad_consumo,Renta media por unidad de consumo,INE - ECV tabla 9942,20676,https://ine.es/jaxiT3/Tabla.htm?t=9942,euros,2023,Anual,media anual,oficial,País,España,Renta anual media por unidad de consumo.,2026-07-10,En ECV los ingresos se refieren al año anterior al de la entrevista.
2024,Renta y desigualdad,Renta,renta_media_unidad_consumo,Renta media por unidad de consumo,INE - ECV tabla 9942,21759,https://ine.es/jaxiT3/Tabla.htm?t=9942,euros,2024,Anual,media anual,oficial,País,España,Renta anual media por unidad de consumo.,2026-07-10,En ECV los ingresos se refieren al año anterior al de la entrevista.
2025,Renta y desigualdad,Renta,renta_media_unidad_consumo,Renta media por unidad de consumo,INE - ECV tabla 9942,22943,https://ine.es/jaxiT3/Tabla.htm?t=9942,euros,2025,Anual,media anual,oficial,País,España,Renta anual media por unidad de consumo.,2026-07-10,En ECV los ingresos se refieren al año anterior al de la entrevista.
2018,Renta y desigualdad,Renta,renta_neta_media_persona,Renta neta media por persona,INE - ECV tabla 9942,11412,https://ine.es/jaxiT3/Tabla.htm?t=9942,euros,2018,Anual,media anual,oficial,País,España,Renta anual neta media por persona.,2026-07-10,En ECV los ingresos se refieren al año anterior al de la entrevista.
2019,Renta y desigualdad,Renta,renta_neta_media_persona,Renta neta media por persona,INE - ECV tabla 9942,11680,https://ine.es/jaxiT3/Tabla.htm?t=9942,euros,2019,Anual,media anual,oficial,País,España,Renta anual neta media por persona.,2026-07-10,En ECV los ingresos se refieren al año anterior al de la entrevista.
2020,Renta y desigualdad,Renta,renta_neta_media_persona,Renta neta media por persona,INE - ECV tabla 9942,12292,https://ine.es/jaxiT3/Tabla.htm?t=9942,euros,2020,Anual,media anual,oficial,País,España,Renta anual neta media por persona.,2026-07-10,En ECV los ingresos se refieren al año anterior al de la entrevista.
2021,Renta y desigualdad,Renta,renta_neta_media_persona,Renta neta media por persona,INE - ECV tabla 9942,12269,https://ine.es/jaxiT3/Tabla.htm?t=9942,euros,2021,Anual,media anual,oficial,País,España,Renta anual neta media por persona.,2026-07-10,En ECV los ingresos se refieren al año anterior al de la entrevista.
2022,Renta y desigualdad,Renta,renta_neta_media_persona,Renta neta media por persona,INE - ECV tabla 9942,13008,https://ine.es/jaxiT3/Tabla.htm?t=9942,euros,2022,Anual,media anual,oficial,País,España,Renta anual neta media por persona.,2026-07-10,En ECV los ingresos se refieren al año anterior al de la entrevista.
2023,Renta y desigualdad,Renta,renta_neta_media_persona,Renta neta media por persona,INE - ECV tabla 9942,14082,https://ine.es/jaxiT3/Tabla.htm?t=9942,euros,2023,Anual,media anual,oficial,País,España,Renta anual neta media por persona.,2026-07-10,En ECV los ingresos se refieren al año anterior al de la entrevista.
2024,Renta y desigualdad,Renta,renta_neta_media_persona,Renta neta media por persona,INE - ECV tabla 9942,14807,https://ine.es/jaxiT3/Tabla.htm?t=9942,euros,2024,Anual,media anual,oficial,País,España,Renta anual neta media por persona.,2026-07-10,En ECV los ingresos se refieren al año anterior al de la entrevista.
2025,Renta y desigualdad,Renta,renta_neta_media_persona,Renta neta media por persona,INE - ECV tabla 9942,15620,https://ine.es/jaxiT3/Tabla.htm?t=9942,euros,2025,Anual,media anual,oficial,País,España,Renta anual neta media por persona.,2026-07-10,En ECV los ingresos se refieren al año anterior al de la entrevista.
2018,Sanidad,Gasto público,gasto_sanitario_publico_pib,Gasto sanitario público,Ministerio de Sanidad - Estadística de Gasto Sanitario Público,5.9,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/gastoSanitario2005/tablasEstEGSP/Principales_resultados.pdf,% PIB,2018,Anual,año natural,oficial_hasta_2024,País,España,Gasto sanitario público consolidado como porcentaje del PIB.,2026-07-10,Último cierre oficial disponible: 2024. 2025 queda sin dato hasta nueva publicación EGSP. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2019,Sanidad,Gasto público,gasto_sanitario_publico_pib,Gasto sanitario público,Ministerio de Sanidad - Estadística de Gasto Sanitario Público,6,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/gastoSanitario2005/tablasEstEGSP/Principales_resultados.pdf,% PIB,2019,Anual,año natural,oficial_hasta_2024,País,España,Gasto sanitario público consolidado como porcentaje del PIB.,2026-07-10,Último cierre oficial disponible: 2024. 2025 queda sin dato hasta nueva publicación EGSP. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2020,Sanidad,Gasto público,gasto_sanitario_publico_pib,Gasto sanitario público,Ministerio de Sanidad - Estadística de Gasto Sanitario Público,7.4,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/gastoSanitario2005/tablasEstEGSP/Principales_resultados.pdf,% PIB,2020,Anual,año natural,oficial_hasta_2024,País,España,Gasto sanitario público consolidado como porcentaje del PIB.,2026-07-10,Último cierre oficial disponible: 2024. 2025 queda sin dato hasta nueva publicación EGSP. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2021,Sanidad,Gasto público,gasto_sanitario_publico_pib,Gasto sanitario público,Ministerio de Sanidad - Estadística de Gasto Sanitario Público,7.1,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/gastoSanitario2005/tablasEstEGSP/Principales_resultados.pdf,% PIB,2021,Anual,año natural,oficial_hasta_2024,País,España,Gasto sanitario público consolidado como porcentaje del PIB.,2026-07-10,Último cierre oficial disponible: 2024. 2025 queda sin dato hasta nueva publicación EGSP. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2022,Sanidad,Gasto público,gasto_sanitario_publico_pib,Gasto sanitario público,Ministerio de Sanidad - Estadística de Gasto Sanitario Público,6.7,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/gastoSanitario2005/tablasEstEGSP/Principales_resultados.pdf,% PIB,2022,Anual,año natural,oficial_hasta_2024,País,España,Gasto sanitario público consolidado como porcentaje del PIB.,2026-07-10,Último cierre oficial disponible: 2024. 2025 queda sin dato hasta nueva publicación EGSP. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2023,Sanidad,Gasto público,gasto_sanitario_publico_pib,Gasto sanitario público,Ministerio de Sanidad - Estadística de Gasto Sanitario Público,6.5,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/gastoSanitario2005/tablasEstEGSP/Principales_resultados.pdf,% PIB,2023,Anual,año natural,oficial_hasta_2024,País,España,Gasto sanitario público consolidado como porcentaje del PIB.,2026-07-10,Último cierre oficial disponible: 2024. 2025 queda sin dato hasta nueva publicación EGSP. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2024,Sanidad,Gasto público,gasto_sanitario_publico_pib,Gasto sanitario público,Ministerio de Sanidad - EGSP,6.4,https://www.sanidad.gob.es/estadEstudios/estadisticas/inforRecopilaciones/gastoSanitario2005/tablasEstEGSP/Principales_resultados.pdf,% PIB,2024,Anual,año natural,oficial,País,España,Gasto sanitario público consolidado como porcentaje del PIB.,2026-07-10,Dato 2024 cerrado publicado en los principales resultados de la Estadística de Gasto Sanitario Público. No se rellena 2025 hasta publicación oficial.
2018,Sector público,Deuda,deuda_publica_pde_pib,Deuda pública PDE,Banco de España - Deuda AAPP PDE,97.6,https://www.bde.es/wbe/es/noticias-eventos/actualidad-banco-espana/deuda-aapp-2025t4.html,% PIB,2018,Anual / cierre diciembre,cierre anual,oficial,País,España,Deuda de las Administraciones Públicas según Protocolo de Déficit Excesivo en porcentaje del PIB.,2026-07-10,"2025 cierre: 100,7% del PIB. 2024 cierre: 101,8% del PIB. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025."
2019,Sector público,Deuda,deuda_publica_pde_pib,Deuda pública PDE,Banco de España - Deuda AAPP PDE,98.2,https://www.bde.es/wbe/es/noticias-eventos/actualidad-banco-espana/deuda-aapp-2025t4.html,% PIB,2019,Anual / cierre diciembre,cierre anual,oficial,País,España,Deuda de las Administraciones Públicas según Protocolo de Déficit Excesivo en porcentaje del PIB.,2026-07-10,"2025 cierre: 100,7% del PIB. 2024 cierre: 101,8% del PIB. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025."
2020,Sector público,Deuda,deuda_publica_pde_pib,Deuda pública PDE,Banco de España - Deuda AAPP PDE,120.3,https://www.bde.es/wbe/es/noticias-eventos/actualidad-banco-espana/deuda-aapp-2025t4.html,% PIB,2020,Anual / cierre diciembre,cierre anual,oficial,País,España,Deuda de las Administraciones Públicas según Protocolo de Déficit Excesivo en porcentaje del PIB.,2026-07-10,"2025 cierre: 100,7% del PIB. 2024 cierre: 101,8% del PIB. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025."
2021,Sector público,Deuda,deuda_publica_pde_pib,Deuda pública PDE,Banco de España - Deuda AAPP PDE,118.4,https://www.bde.es/wbe/es/noticias-eventos/actualidad-banco-espana/deuda-aapp-2025t4.html,% PIB,2021,Anual / cierre diciembre,cierre anual,oficial,País,España,Deuda de las Administraciones Públicas según Protocolo de Déficit Excesivo en porcentaje del PIB.,2026-07-10,"2025 cierre: 100,7% del PIB. 2024 cierre: 101,8% del PIB. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025."
2022,Sector público,Deuda,deuda_publica_pde_pib,Deuda pública PDE,Banco de España - deuda PDE de las AAPP,109.5,https://www.bde.es/wbe/es/noticias-eventos/actualidad-banco-espana/notas-banco-espana/la-deuda-de-las-administraciones-publicas-se-situo-en-diciembre-de-2024--en-el-1018-del-pib-33-pp-menos-que-a-finales-de-2023.html,% PIB,2022,Anual,cierre anual,oficial,País,España,Deuda de las Administraciones Públicas según el Protocolo de Déficit Excesivo en porcentaje del PIB.,2026-07-10,Ratio de cierre anual / cuarto trimestre.
2023,Sector público,Deuda,deuda_publica_pde_pib,Deuda pública PDE,Banco de España - deuda PDE de las AAPP,105.1,https://www.bde.es/wbe/es/noticias-eventos/actualidad-banco-espana/notas-banco-espana/la-deuda-de-las-administraciones-publicas-se-situo-en-diciembre-de-2024--en-el-1018-del-pib-33-pp-menos-que-a-finales-de-2023.html,% PIB,2023,Anual,cierre anual,oficial,País,España,Deuda de las Administraciones Públicas según el Protocolo de Déficit Excesivo en porcentaje del PIB.,2026-07-10,Ratio de cierre anual / cuarto trimestre.
2024,Sector público,Deuda,deuda_publica_pde_pib,Deuda pública PDE,Banco de España - deuda PDE de las AAPP,101.8,https://www.bde.es/wbe/es/noticias-eventos/actualidad-banco-espana/notas-banco-espana/la-deuda-de-las-administraciones-publicas-se-situo-en-diciembre-de-2024--en-el-1018-del-pib-33-pp-menos-que-a-finales-de-2023.html,% PIB,2024,Anual,cierre anual,oficial,País,España,Deuda de las Administraciones Públicas según el Protocolo de Déficit Excesivo en porcentaje del PIB.,2026-07-10,Ratio de cierre anual / cuarto trimestre.
2025,Sector público,Deuda,deuda_publica_pde_pib,Deuda pública PDE,Banco de España - deuda PDE de las AAPP,100.7,https://www.bde.es/wbe/es/noticias-eventos/actualidad-banco-espana/deuda-aapp-2025t4.html,% PIB,2025,Anual,cierre anual,oficial,País,España,Deuda de las Administraciones Públicas según el Protocolo de Déficit Excesivo en porcentaje del PIB.,2026-07-10,Ratio de cierre anual / cuarto trimestre.
2019,Sector público,Deuda,variacion_deuda_publica_pp,Variación deuda pública,Cálculo propio con Banco de España,0.6,https://www.bde.es/wbe/es/noticias-eventos/actualidad-banco-espana/deuda-aapp-2025t4.html,puntos porcentuales,2019,Anual / cierre diciembre,cierre anual,calculado,País,España,Variación anual en puntos porcentuales de la ratio de deuda pública PDE sobre PIB.,2026-07-10,"Sustituye la antigua columna de crecimiento porcentual de la deuda; para ratios, la variación en p.p. es más interpretable. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025."
2020,Sector público,Deuda,variacion_deuda_publica_pp,Variación deuda pública,Cálculo propio con Banco de España,22.1,https://www.bde.es/wbe/es/noticias-eventos/actualidad-banco-espana/deuda-aapp-2025t4.html,puntos porcentuales,2020,Anual / cierre diciembre,cierre anual,calculado,País,España,Variación anual en puntos porcentuales de la ratio de deuda pública PDE sobre PIB.,2026-07-10,"Sustituye la antigua columna de crecimiento porcentual de la deuda; para ratios, la variación en p.p. es más interpretable. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025."
2021,Sector público,Deuda,variacion_deuda_publica_pp,Variación deuda pública,Cálculo propio con Banco de España,-1.9,https://www.bde.es/wbe/es/noticias-eventos/actualidad-banco-espana/deuda-aapp-2025t4.html,puntos porcentuales,2021,Anual / cierre diciembre,cierre anual,calculado,País,España,Variación anual en puntos porcentuales de la ratio de deuda pública PDE sobre PIB.,2026-07-10,"Sustituye la antigua columna de crecimiento porcentual de la deuda; para ratios, la variación en p.p. es más interpretable. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025."
2022,Sector público,Deuda,variacion_deuda_publica_pp,Variación deuda pública,Cálculo propio con Banco de España,-6.8,https://www.bde.es/wbe/es/noticias-eventos/actualidad-banco-espana/deuda-aapp-2025t4.html,puntos porcentuales,2022,Anual / cierre diciembre,cierre anual,calculado,País,España,Variación anual en puntos porcentuales de la ratio de deuda pública PDE sobre PIB.,2026-07-10,"Sustituye la antigua columna de crecimiento porcentual de la deuda; para ratios, la variación en p.p. es más interpretable. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025."
2023,Sector público,Deuda,variacion_deuda_publica_pp,Variación deuda pública,Cálculo propio sobre Banco de España,-4.4,https://www.bde.es/wbe/es/noticias-eventos/actualidad-banco-espana/notas-banco-espana/la-deuda-de-las-administraciones-publicas-se-situo-en-diciembre-de-2024--en-el-1018-del-pib-33-pp-menos-que-a-finales-de-2023.html,puntos porcentuales,2023,Anual,cierre anual,calculado,País,España,Variación anual en puntos porcentuales de la ratio de deuda pública PDE sobre PIB.,2026-07-10,Calculado como deuda 2023 - deuda 2022.
2024,Sector público,Deuda,variacion_deuda_publica_pp,Variación deuda pública,Cálculo propio sobre Banco de España,-3.3,https://www.bde.es/wbe/es/noticias-eventos/actualidad-banco-espana/notas-banco-espana/la-deuda-de-las-administraciones-publicas-se-situo-en-diciembre-de-2024--en-el-1018-del-pib-33-pp-menos-que-a-finales-de-2023.html,puntos porcentuales,2024,Anual,cierre anual,calculado,País,España,Variación anual en puntos porcentuales de la ratio de deuda pública PDE sobre PIB.,2026-07-10,Calculado como deuda 2024 - deuda 2023.
2025,Sector público,Deuda,variacion_deuda_publica_pp,Variación deuda pública,Cálculo propio sobre Banco de España,-1.1,https://www.bde.es/wbe/es/noticias-eventos/actualidad-banco-espana/deuda-aapp-2025t4.html,puntos porcentuales,2025,Anual,cierre anual,calculado,País,España,Variación anual en puntos porcentuales de la ratio de deuda pública PDE sobre PIB.,2026-07-10,Calculado como deuda 2025 - deuda 2024.
2018,Turismo,EGATUR,duracion_media_viaje_turista,Duración media viaje turístico,INE - EGATUR tabla 24746,7.45,https://ine.es/jaxiT3/Tabla.htm?t=24746,días,2018,Anual,media anual,oficial,País,España,Duración media de los viajes de turistas internacionales.,2026-07-10,EGATUR; dato base anual.
2019,Turismo,EGATUR,duracion_media_viaje_turista,Duración media viaje turístico,INE - EGATUR tabla 24746,7.11,https://ine.es/jaxiT3/Tabla.htm?t=24746,días,2019,Anual,media anual,oficial,País,España,Duración media de los viajes de turistas internacionales.,2026-07-10,EGATUR; dato base anual.
2020,Turismo,EGATUR,duracion_media_viaje_turista,Duración media viaje turístico,INE - EGATUR tabla 24746,7.82,https://ine.es/jaxiT3/Tabla.htm?t=24746,días,2020,Anual,media anual,oficial,País,España,Duración media de los viajes de turistas internacionales.,2026-07-10,EGATUR; dato base anual.
2021,Turismo,EGATUR,duracion_media_viaje_turista,Duración media viaje turístico,INE - EGATUR tabla 24746,8.15,https://ine.es/jaxiT3/Tabla.htm?t=24746,días,2021,Anual,media anual,oficial,País,España,Duración media de los viajes de turistas internacionales.,2026-07-10,EGATUR; dato base anual.
2022,Turismo,EGATUR,duracion_media_viaje_turista,Duración media viaje turístico,INE - EGATUR tabla 24746,7.5,https://ine.es/jaxiT3/Tabla.htm?t=24746,días,2022,Anual,media anual,oficial,País,España,Duración media de los viajes de turistas internacionales.,2026-07-10,EGATUR; dato base anual.
2023,Turismo,EGATUR,duracion_media_viaje_turista,Duración media viaje turístico,INE - EGATUR tabla 24746,7.22,https://ine.es/jaxiT3/Tabla.htm?t=24746,días,2023,Anual,media anual,oficial,País,España,Duración media de los viajes de turistas internacionales.,2026-07-10,EGATUR; dato base anual.
2024,Turismo,EGATUR,duracion_media_viaje_turista,Duración media viaje turístico,INE - EGATUR tabla 24746,7.23,https://ine.es/jaxiT3/Tabla.htm?t=24746,días,2024,Anual,media anual,oficial,País,España,Duración media de los viajes de turistas internacionales.,2026-07-10,EGATUR; dato base anual.
2025,Turismo,EGATUR,duracion_media_viaje_turista,Duración media viaje turístico,INE - EGATUR tabla 24746,7.13,https://ine.es/jaxiT3/Tabla.htm?t=24746,días,2025,Anual,media anual,oficial,País,España,Duración media de los viajes de turistas internacionales.,2026-07-10,EGATUR; dato base anual.
2018,Turismo,EGATUR,gasto_medio_turista,Gasto medio por turista,INE - EGATUR tabla 24746,1084,https://ine.es/jaxiT3/Tabla.htm?t=24746,euros,2018,Anual,media anual,oficial,País,España,Gasto medio por persona de turistas internacionales.,2026-07-10,EGATUR; dato base anual.
2019,Turismo,EGATUR,gasto_medio_turista,Gasto medio por turista,INE - EGATUR tabla 24746,1101,https://ine.es/jaxiT3/Tabla.htm?t=24746,euros,2019,Anual,media anual,oficial,País,España,Gasto medio por persona de turistas internacionales.,2026-07-10,EGATUR; dato base anual.
2020,Turismo,EGATUR,gasto_medio_turista,Gasto medio por turista,INE - EGATUR tabla 24746,1045,https://ine.es/jaxiT3/Tabla.htm?t=24746,euros,2020,Anual,media anual,oficial,País,España,Gasto medio por persona de turistas internacionales.,2026-07-10,EGATUR; dato base anual.
2021,Turismo,EGATUR,gasto_medio_turista,Gasto medio por turista,INE - EGATUR tabla 24746,1119,https://ine.es/jaxiT3/Tabla.htm?t=24746,euros,2021,Anual,media anual,oficial,País,España,Gasto medio por persona de turistas internacionales.,2026-07-10,EGATUR; dato base anual.
2022,Turismo,EGATUR,gasto_medio_turista,Gasto medio por turista,INE - EGATUR tabla 24746,1216,https://ine.es/jaxiT3/Tabla.htm?t=24746,euros,2022,Anual,media anual,oficial,País,España,Gasto medio por persona de turistas internacionales.,2026-07-10,EGATUR; dato base anual.
2023,Turismo,EGATUR,gasto_medio_turista,Gasto medio por turista,INE - EGATUR tabla 24746,1277,https://ine.es/jaxiT3/Tabla.htm?t=24746,euros,2023,Anual,media anual,oficial,País,España,Gasto medio por persona de turistas internacionales.,2026-07-10,EGATUR; dato base anual.
2024,Turismo,EGATUR,gasto_medio_turista,Gasto medio por turista,INE - EGATUR tabla 24746,1345,https://ine.es/jaxiT3/Tabla.htm?t=24746,euros,2024,Anual,media anual,oficial,País,España,Gasto medio por persona de turistas internacionales.,2026-07-10,EGATUR; dato base anual.
2025,Turismo,EGATUR,gasto_medio_turista,Gasto medio por turista,INE - EGATUR tabla 24746,1392,https://ine.es/jaxiT3/Tabla.htm?t=24746,euros,2025,Anual,media anual,oficial,País,España,Gasto medio por persona de turistas internacionales.,2026-07-10,EGATUR; dato base anual.
2018,Turismo,EGATUR,gasto_turistico_internacional,Gasto turístico internacional,INE - EGATUR tabla 24746,89750.75,https://ine.es/jaxiT3/Tabla.htm?t=24746,millones de euros,2018,Anual,media anual,oficial,País,España,Gasto total anual de turistas internacionales en España.,2026-07-10,EGATUR; dato base anual.
2019,Turismo,EGATUR,gasto_turistico_internacional,Gasto turístico internacional,INE - EGATUR tabla 24746,91911.97,https://ine.es/jaxiT3/Tabla.htm?t=24746,millones de euros,2019,Anual,media anual,oficial,País,España,Gasto total anual de turistas internacionales en España.,2026-07-10,EGATUR; dato base anual.
2020,Turismo,EGATUR,gasto_turistico_internacional,Gasto turístico internacional,INE - EGATUR tabla 24746,19786.78,https://ine.es/jaxiT3/Tabla.htm?t=24746,millones de euros,2020,Anual,media anual,oficial,País,España,Gasto total anual de turistas internacionales en España.,2026-07-10,EGATUR; dato base anual.
2021,Turismo,EGATUR,gasto_turistico_internacional,Gasto turístico internacional,INE - EGATUR tabla 24746,34903.37,https://ine.es/jaxiT3/Tabla.htm?t=24746,millones de euros,2021,Anual,media anual,oficial,País,España,Gasto total anual de turistas internacionales en España.,2026-07-10,EGATUR; dato base anual.
2022,Turismo,EGATUR,gasto_turistico_internacional,Gasto turístico internacional,INE - EGATUR tabla 24746,87138.19,https://ine.es/jaxiT3/Tabla.htm?t=24746,millones de euros,2022,Anual,media anual,oficial,País,España,Gasto total anual de turistas internacionales en España.,2026-07-10,EGATUR; dato base anual.
2023,Turismo,EGATUR,gasto_turistico_internacional,Gasto turístico internacional,INE - EGATUR tabla 24746,108789.41,https://ine.es/jaxiT3/Tabla.htm?t=24746,millones de euros,2023,Anual,media anual,oficial,País,España,Gasto total anual de turistas internacionales en España.,2026-07-10,EGATUR; dato base anual.
2024,Turismo,EGATUR,gasto_turistico_internacional,Gasto turístico internacional,INE - EGATUR tabla 24746,126143.22,https://ine.es/jaxiT3/Tabla.htm?t=24746,millones de euros,2024,Anual,media anual,oficial,País,España,Gasto total anual de turistas internacionales en España.,2026-07-10,EGATUR; dato base anual.
2025,Turismo,EGATUR,gasto_turistico_internacional,Gasto turístico internacional,INE - EGATUR tabla 24746,134743.32,https://ine.es/jaxiT3/Tabla.htm?t=24746,millones de euros,2025,Anual,media anual,oficial,País,España,Gasto total anual de turistas internacionales en España.,2026-07-10,EGATUR; dato base anual.
2018,Turismo,FRONTUR,turistas_internacionales,Turistas internacionales,INE - FRONTUR tabla 23981,82808413,https://ine.es/jaxiT3/Tabla.htm?t=23981,personas,2018,Anual,media anual,oficial,País,España,Número anual de turistas no residentes que entran en España.,2026-07-10,FRONTUR; dato base anual.
2019,Turismo,FRONTUR,turistas_internacionales,Turistas internacionales,INE - FRONTUR tabla 23981,83509153,https://ine.es/jaxiT3/Tabla.htm?t=23981,personas,2019,Anual,media anual,oficial,País,España,Número anual de turistas no residentes que entran en España.,2026-07-10,FRONTUR; dato base anual.
2020,Turismo,FRONTUR,turistas_internacionales,Turistas internacionales,INE - FRONTUR tabla 23981,18933103,https://ine.es/jaxiT3/Tabla.htm?t=23981,personas,2020,Anual,media anual,oficial,País,España,Número anual de turistas no residentes que entran en España.,2026-07-10,FRONTUR; dato base anual.
2021,Turismo,FRONTUR,turistas_internacionales,Turistas internacionales,INE - FRONTUR tabla 23981,31180802,https://ine.es/jaxiT3/Tabla.htm?t=23981,personas,2021,Anual,media anual,oficial,País,España,Número anual de turistas no residentes que entran en España.,2026-07-10,FRONTUR; dato base anual.
2022,Turismo,FRONTUR,turistas_internacionales,Turistas internacionales,INE - FRONTUR tabla 23981,71659281,https://ine.es/jaxiT3/Tabla.htm?t=23981,personas,2022,Anual,media anual,oficial,País,España,Número anual de turistas no residentes que entran en España.,2026-07-10,FRONTUR; dato base anual.
2023,Turismo,FRONTUR,turistas_internacionales,Turistas internacionales,INE - FRONTUR tabla 23981,85169050,https://ine.es/jaxiT3/Tabla.htm?t=23981,personas,2023,Anual,media anual,oficial,País,España,Número anual de turistas no residentes que entran en España.,2026-07-10,FRONTUR; dato base anual.
2024,Turismo,FRONTUR,turistas_internacionales,Turistas internacionales,INE - FRONTUR tabla 23981,93759297,https://ine.es/jaxiT3/Tabla.htm?t=23981,personas,2024,Anual,media anual,oficial,País,España,Número anual de turistas no residentes que entran en España.,2026-07-10,FRONTUR; dato base anual.
2025,Turismo,FRONTUR,turistas_internacionales,Turistas internacionales,INE - FRONTUR tabla 23981,96803894,https://ine.es/jaxiT3/Tabla.htm?t=23981,personas,2025,Anual,media anual,oficial,País,España,Número anual de turistas no residentes que entran en España.,2026-07-10,FRONTUR; dato base anual.
2018,Turismo,FRONTUR,visitantes_internacionales_total,Visitantes internacionales total,INE - FRONTUR tabla 23981,124455667,https://ine.es/jaxiT3/Tabla.htm?t=23981,personas,2018,Anual,media anual,oficial,País,España,"Número anual de visitantes no residentes, turistas y excursionistas.",2026-07-10,FRONTUR; dato base anual.
2019,Turismo,FRONTUR,visitantes_internacionales_total,Visitantes internacionales total,INE - FRONTUR tabla 23981,126170086,https://ine.es/jaxiT3/Tabla.htm?t=23981,personas,2019,Anual,media anual,oficial,País,España,"Número anual de visitantes no residentes, turistas y excursionistas.",2026-07-10,FRONTUR; dato base anual.
2020,Turismo,FRONTUR,visitantes_internacionales_total,Visitantes internacionales total,INE - FRONTUR tabla 23981,36409971,https://ine.es/jaxiT3/Tabla.htm?t=23981,personas,2020,Anual,media anual,oficial,País,España,"Número anual de visitantes no residentes, turistas y excursionistas.",2026-07-10,FRONTUR; dato base anual.
2021,Turismo,FRONTUR,visitantes_internacionales_total,Visitantes internacionales total,INE - FRONTUR tabla 23981,51631377,https://ine.es/jaxiT3/Tabla.htm?t=23981,personas,2021,Anual,media anual,oficial,País,España,"Número anual de visitantes no residentes, turistas y excursionistas.",2026-07-10,FRONTUR; dato base anual.
2022,Turismo,FRONTUR,visitantes_internacionales_total,Visitantes internacionales total,INE - FRONTUR tabla 23981,104968100,https://ine.es/jaxiT3/Tabla.htm?t=23981,personas,2022,Anual,media anual,oficial,País,España,"Número anual de visitantes no residentes, turistas y excursionistas.",2026-07-10,FRONTUR; dato base anual.
2023,Turismo,FRONTUR,visitantes_internacionales_total,Visitantes internacionales total,INE - FRONTUR tabla 23981,125750425,https://ine.es/jaxiT3/Tabla.htm?t=23981,personas,2023,Anual,media anual,oficial,País,España,"Número anual de visitantes no residentes, turistas y excursionistas.",2026-07-10,FRONTUR; dato base anual.
2024,Turismo,FRONTUR,visitantes_internacionales_total,Visitantes internacionales total,INE - FRONTUR tabla 23981,137640110,https://ine.es/jaxiT3/Tabla.htm?t=23981,personas,2024,Anual,media anual,oficial,País,España,"Número anual de visitantes no residentes, turistas y excursionistas.",2026-07-10,FRONTUR; dato base anual.
2025,Turismo,FRONTUR,visitantes_internacionales_total,Visitantes internacionales total,INE - FRONTUR tabla 23981,144037701,https://ine.es/jaxiT3/Tabla.htm?t=23981,personas,2025,Anual,media anual,oficial,País,España,"Número anual de visitantes no residentes, turistas y excursionistas.",2026-07-10,FRONTUR; dato base anual.
2018,Vivienda,Alquiler,indice_precio_alquiler,Índice precio alquiler,INE - IPVA tabla 59057,106.25,https://ine.es/jaxiT3/Tabla.htm?t=59057,índice base 2015=100,2018,Anual,media anual,oficial,País,España,"Índice de precios de vivienda en alquiler, total nacional.",2026-07-10,"IPVA; territorio fiscal común, no incluye País Vasco ni Navarra según notas del INE."
